Player,Team,Season,Class,Year out of HS,Year Played,Games Played,Fantasy Points,Points per Game,Draft Pick Overall
Zach Kline,Fresno State,2013,2017,2,2,6,23.1,3.9,NA
Dylan McCaffrey,Northern Colorado,2019,2023,3,3,5,22.4,4.5,NA
Jack Tuttle,Michigan,2020,2024,3,2,3,22.2,7.4,NA
Luke Doty,South Carolina,2022,2024,3,3,3,22.1,7.4,NA
Max Browne,Pittsburgh,2016,2018,4,4,8,22,2.7,NA
Maalik Murphy,Texas,2023,2025,2,2,6,21.3,3.5,NA
Quincy Patterson II,Temple,2022,2024,5,5,5,21.3,4.3,NA
Devin Brown,Ohio State,2023,2025,2,2,6,21,3.5,NA
Tyler Macon,Alcorn State,2021,2024,1,1,3,20.7,6.9,NA
Jeff Sims,Nebraska,2023,2024,4,4,5,20.2,4,NA
Hunter Johnson,Clemson,2019,2023,3,2,6,20.2,3.4,NA
Myles Brennan,LSU,2019,2022,3,3,8,20.2,2.5,NA
Brandon Wimbush,UCF,2019,2020,5,5,5,19.5,3.9,NA
Malik Henry,Nevada,2019,2020,4,4,3,19.5,6.5,NA
Ethan Garbers,UCLA,2021,2024,2,2,5,19.3,3.9,NA
Kyle McCord,Ohio State,2021,2024,1,1,5,19,3.8,NA
Tyler Shough,Texas Tech,2019,2024,2,1,4,18.9,4.7,NA
Hunter Johnson,Clemson,2021,2023,5,4,3,18.8,6.3,NA
Brock Vandagriff,Georgia,2023,2024,3,3,7,18.5,2.6,NA
TJ Finley,Texas State,2022,2024,3,3,4,18.5,4.6,NA
Chandler Morris,TCU,2020,2024,1,1,5,18,3.6,NA
Shane Buechele,SMU,2018,2021,3,3,2,17.7,8.9,NA
Bart Houston,Wisconsin,2015,2017,4,4,7,17.5,2.5,NA
Zack Greenlee,UTEP,2014,2018,2,2,3,17,5.7,NA
Brady White,Memphis,2016,2021,2,2,2,16.7,8.3,NA
Haynes King,Georgia Tech,2021,2024,2,2,2,16.4,8.2,NA
Jack Sears,Boise State,2018,2022,2,2,1,16.4,16.4,NA
Brandon Wimbush,UCF,2015,2020,1,1,2,16.3,8.1,NA
Jacolby Criswell,Arkansas,2023,2024,4,4,4,16.1,4,NA
Hunter Dekkers,Iowa State,2020,2024,1,1,3,15.9,5.3,NA
Justin Rogers,UNLV,2021,2022,4,3,6,15.6,2.6,NA
Hunter Johnson,Clemson,2017,2023,1,1,7,15,2.1,NA
