Name,School,Draft,NFL Team,Awards,Year
Pat Devlin,Penn StateDelaware[50],Undrafted,Miami DolphinsMinnesota VikingsChicago BearsCleveland Browns[50],2010CAAOffensive Player of the Year2010ECACAll-East Offensive Player of the Year,2005
Zach Frazer,Notre DameConnecticut,Undrafted,None,None,2005
Josh Freeman,Kansas State,2009 Rd. 1,Tampa Bay BuccaneersMinnesota VikingsNew York GiantsMiami DolphinsIndianapolis Colts[51],None,2005
Cody Hawkins,Colorado,Undrafted,None,None,2005
Jake Locker,Washington,2011 Rd. 1,Tennessee Titans[52],2007Pac-10 Freshman of the Year,2005
Mitch Mustain,ArkansasUSC[53],Undrafted,None,2005Hall Trophy2005 USA Today National Offensive High School Player of the Year2006Gatorade National Player of the Year,2005
Kevin Riley,California,Undrafted,None,2007 Armed Forces BowlMVP,2005
Jevan Snead,TexasOle Miss[54],Undrafted,Tampa Bay Buccaneers[54],None,2005
Matthew Stafford,Georgia,2009 Rd. 1,Detroit Lions[55]Los Angeles Rams[56],"Elite 11 MVP2006 Chick-fil-A BowlMVP2008 All-SEC Second Team by Coaches and AP2009 Capital One BowlMVP2009 NFL DraftNumber One Overall Selection2011 4th quarterback in NFL history to throw over 5,000 yards in a single seasonSuper Bowl Champion",2005
Tim Tebow,Florida,2010 Rd. 1,Denver BroncosNew York JetsNew England PatriotsPhiladelphia Eagles[57]Jacksonville Jaguars(TE),"2007Heisman Trophy2007Associated Press College Football Player of the Year Award2007College Football Quarterback of the Year Award2xMaxwell Award(2007, 2008)2007Davey O'Brien Award2007Sullivan Award2008Manning Award2008Wuerffel Trophy2x National Champion (2006, 2008)2008, 2009Heisman TrophyFinalist2009 BCS National Championship GameMVP2010 Sugar BowlMVP",2005
Isiah Williams,Illinois,Undrafted,None,2008 All-Big Ten Second Team by Media,2005
Rontrell Bailey,Ouachita BaptistArkansas–Pine Bluff,Undrafted,None,None,2006
